ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 122,,,00 20 33,00h20m33s,92 24,-2 24,-2°24',
NGC 123,,,00 20 36,00h20m36s,92 22,-2 22,-2°22',
NGC 124,,,00 20 43,00h20m43s,92 35.7,-2 35.7,-2°35.7',"very faint, large, diffuse, 2 faint stars to northwest"
NGC 125,,,00 21 41,00h21m41s,87 56.1,2 3.9,2°3.9',"very faint, small, brighter middle, double star to southwest"
NGC 126,,,00 21 54,00h21m54s,87 58.1,2 1.9,2°1.9',"very faint, small, a little extended"
NGC 127,,,00 22 01,00h22m01s,87 54.1,2 5.9,2°5.9',"very faint, very small, round, west of h 25"
NGC 128,,,00 22 05,00h22m05s,87 54.6,2 5.4,2°5.4',"pretty bright, pretty small, a little extended 2°, brighter middle"
NGC 129,,,00 22 06,00h22m06s,30 33.1,59 26.9,59°26.9',"a cluster, very large, pretty round, a little compressed, stars from 9th to 13th magnitude"
NGC 130,,,00 22 09,00h22m09s,87 54.1,2 5.9,2°5.9',"very faint, very small, round, east of h 25"
NGC 131,,,00 22 43,00h22m43s,124 02.0,-34 2,-34°2',"faint, pretty large, pretty much extended, very gradually brighter middle, western of 2"
NGC 132,,,00 23 00,00h23m00s,88 40.9,1 19.1,1°19.1',"pretty faint, considerably large, round, very gradually a little brighter middle, mottled but not resolved"
NGC 133,,,00 23 21,00h23m21s,27 25.7,62 34.3,62°34.3',"a cluster, pretty large, stars from 10th magnitude, double star involved"
NGC 134,,,00 23 28,00h23m28s,124 01.8,-34 1.8,-34°1.8',"very bright, large, very much extended 47°, pretty suddenly brighter middle, eastern of 2, 10th magnitude star 45 arcsec to northwest"
NGC 135,,,00 23 30,00h23m30s,104 08.0,-14 8,-14°8',"very faint, very small, round"
NGC 136,,,00 23 41,00h23m41s,29 15.8,60 44.2,60°44.2',"a globular cluster, very faint, small, extremely compressed"
NGC 137,,,00 23 43,00h23m43s,80 34.0,9 26,9°26',"faint, irregular figure, a little brighter middle"
NGC 138,,,00 23 47,00h23m47s,85 37,4 23,4°23',"faint, extremely small, suddenly brighter middle"
NGC 139,,,00 23 54,00h23m54s,85 39,4 21,4°21',"extremely faint, small"
NGC 140,,,00 23 57,00h23m57s,59 58.9,30 1.1,30°1.1',"very faint, small, round, gradually brighter middle"
NGC 141,,,00 24 06,00h24m06s,85 35,4 25,4°25',"very faint, very small, irregularly round"
NGC 142,,,00 24 30,00h24m30s,113 24.0,-23 24,-23°24',"extremely faint, small, a little extended, 1st of 3"
NGC 143,,,00 24 30,00h24m30s,113 21.0,-23 21,-23°21',"extremely faint, small, much extended, 2nd of 3"
NGC 144,,,00 24 30,00h24m30s,113 26.0,-23 26,-23°26',"extremely faint, very small, round, 3rd of 3"
NGC 145,,,00 24 38,00h24m38s,95 55.6,-5 55.6,-5°55.6',"faint, pretty large, very little extended, very gradually brighter middle, 8th or 9th magnitude star 5 arcmin to east"
NGC 146,,,00 25 13,00h25m13s,27 29.3,62 30.7,62°30.7',"a cluster, pretty large, a little compressed, stars from 11th to 12th magnitude, double star"
NGC 147,,,00 25 32,00h25m32s,42 16.5,47 43.5,47°43.5',"very faint, very large, irregularly round, gradually then suddenly much brighter middle equal to 11th magnitude star"
NGC 148,,,00 26 22,00h26m22s,122 34.0,-32 34,-32°34',"very bright, small, a little extended 90°, suddenly much brighter middle equal to 11th magnitude star"
NGC 149,,,00 26 26,00h26m26s,60 02.9,29 57.1,29°57.1',"very faint, very small, round, gradually brighter middle equal to 14th magnitude star, 12th magnitude star to southwest"
NGC 150,,,00 26 50,00h26m50s,118 35.1,-28 35.1,-28°35.1',"pretty faint, pretty small, round"
NGC 151,,,00 26 57,00h26m57s,100 28.5,-10 28.5,-10°28.5',"pretty faint, pretty large, a little extended 90°, very gradually a little brighter middle"
NGC 152,,,00 27 04,00h27m04s,163 53.2,-73 53.2,-73°53.2',"very faint, large, round, very gradually a little brighter middle"
NGC 153,,,00 27 14,00h27m14s,100 28.4,-10 28.4,-10°28.4',"pretty faint, pretty small, round, star near to northeast"
NGC 154,,,00 27 14,00h27m14s,103 26.0,-13 26,-13°26',"extremely faint, very small, round"
NGC 155,,,00 27 24,00h27m24s,101 31.7,-11 31.7,-11°31.7',"pretty faint, small, round"
NGC 156,,,00 27 28,00h27m28s,99 07,-9 7,-9°7',"very small, northwest of II 3"
NGC 157,,,00 27 40,00h27m40s,99 10.2,-9 10.2,-9°10.2',"pretty bright, large, extended, between 2 considerably bright stars"
NGC 158,,,00 27 51,00h27m51s,99 05,-9 5,-9°5',"very small, northeast of II 3"
NGC 159,,,00 28 03,00h28m03s,146 33.4,-56 33.4,-56°33.4',"very faint, pretty small, round, gradually a little brighter middle, 3 stars to east"
NGC 160,,,00 28 42,00h28m42s,66 48.8,23 11.2,23°11.2',"very faint, very small, stellar, 8th magnitude star 4 arcmin away 17° east of north"
NGC 161,,,00 28 44,00h28m44s,93 36.2,-3 36.2,-3°36.2',"extremely faint, extremely small, round, nearly between 2 stars"
NGC 162,,,00 28 48,00h28m48s,66 48.4,23 11.6,23°11.6',"extremely faint, stellar, h 39 to southwest"
NGC 163,,,00 28 55,00h28m55s,100 53.5,-10 53.5,-10°53.5',"very faint, very small"
NGC 164,,,00 29 23,00h29m23s,88 02,1 58,1°58',extremely faint
NGC 165,,,00 29 24,00h29m24s,100 53.5,-10 53.5,-10°53.5',"faint, large, star in center, eastern of 2"
NGC 166,,,00 29 30,00h29m30s,104 23.0,-14 23,-14°23',"extremely faint, small, a little extended, 11th magnitude star to northwest"
NGC 167,,,00 29 30,00h29m30s,114 09.0,-24 9,-24°9',"very faint, pretty small, irregularly round"
NGC 168,,,00 29 30,00h29m30s,113 23.0,-23 23,-23°23',"extremely faint, small, extended 30°, 10th magnitude star 3 arcmin to northeast"
NGC 169,,,00 29 30,00h29m30s,66 47.1,23 12.9,23°12.9',"faint, pretty large, double or binary nucleus, 6th magnitude star 4 arcmin to northeast"
