ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 6202,,,16 34 32,16h34m32s,27 45.5,62 14.5,62°14.5',"most extremely faint, pretty small, star to east"
NGC 6203,,,16 34 34,16h34m34s,65 57,24 3,24°3',"extremely faint, very small"
NGC 6204,,,16 36 07,16h36m07s,136 45.6,-46 45.6,-46°45.6',"a cluster, pretty rich, extremely irregularly compressed middle, stars from 11th to 12th magnitude"
NGC 6205,,,16 36 40,16h36m40s,53 16.3,36 43.7,36°43.7',"a very remarkable object, a globular cluster, extremely bright, very rich, very gradually extremely compressed middle, stars from 11th magnitude"
NGC 6206,,,16 37 25,16h37m25s,31 07.1,58 52.9,58°52.9',"pretty faint, extremely small, round, stellar, 3 very faint stars near"
NGC 6207,,,16 38 06,16h38m06s,52 54.1,37 5.9,37°5.9',"pretty bright, pretty large, extended 45°±, very gradually much brighter middle"
NGC 6208,,,16 38 18,16h38m18s,143 33.5,-53 33.5,-53°33.5',"a cluster, large, rich, a little compressed middle, stars from 9th to 12th magnitude"
NGC 6209,,,16 38 24,16h38m24s,162 20.5,-72 20.5,-72°20.5',"very faint, pretty large, very gradually a very little brighter middle"
NGC 6210,,,16 38 38,16h38m38s,65 56.2,24 3.8,24°3.8',"a planetary nebula, very bright, very small, round, disc and border"
NGC 6211,,,16 38 38,16h38m38s,31 55.5,58 4.5,58°4.5',"very faint, pretty small, round, southwestern of 2"
NGC 6212,,,16 38 41,16h38m41s,49 55.8,40 4.2,40°4.2',extremely faint
NGC 6213,,,16 38 53,16h38m53s,31 54.3,58 5.7,58°5.7',"extremely faint, very small, round, northeastern of 2"
NGC 6214,,,16 38 54,16h38m54s,23 41.5,66 18.5,66°18.5',"extremely faint, very small, round"
NGC 6215,,,16 39 04,16h39m04s,148 44.8,-58 44.8,-58°44.8',"pretty faint, round, very gradually a little brighter middle, 4th magnitude star 79 seconds of time to west"
NGC 6216,,,16 39 20,16h39m20s,134 28.3,-44 28.3,-44°28.3',"a cluster, pretty small, pretty rich, pretty compressed, stars from 12th to 15th magnitude"
NGC 6217,,,16 39 25,16h39m25s,11 31.3,78 28.7,78°28.7',"bright, considerably large, a little extended, suddenly a little brighter middle"
NGC 6218,,,16 39 58,16h39m58s,91 41.7,-1 41.7,-1°41.7',"a very remarkable object, a globular cluster, very bright, very large, irregularly round, gradually much brighter middle, well resolved, clearly consisting of stars, stars from 10th magnitude"
NGC 6219,,,16 40 08,16h40m08s,80 41,9 19,9°19',"faint, small"
NGC 6220,,,16 40 08,16h40m08s,90 00.2,-0 00.2,-0°00.2',"most extremely faint, pretty small, irregularly round, 3 faint stars to south"
NGC 6221,,,16 40 40,16h40m40s,148 58.0,-58 58,-58°58',"a globular cluster, pretty bright, considerably large, round, gradually a little brighter middle, partially resolved (some stars seen)"
NGC 6222,,,16 40 41,16h40m41s,134 28.6,-44 28.6,-44°28.6',"a cluster, very large, very rich, a little brighter middle, stars from 12th to 13th magnitude"
NGC 6223,,,16 41 24,16h41m24s,28 09.3,61 50.7,61°50.7',"faint, small, round, much brighter middle"
NGC 6224,,,16 41 37,16h41m37s,83 25.7,6 34.3,6°34.3',"most extremely faint, very small, a little extended, pretty bright star near to north, northern of 2"
NGC 6225,,,16 41 39,16h41m39s,83 31.2,6 28.8,6°28.8',"extremely faint, very small, a little extended, faint star involved, southern of 2"
NGC 6226,,,16 41 47,16h41m47s,27 46.0,62 14,62°14',"faint, small, in a triangle with two stars of 12th and 14th magnitude"
NGC 6227,,,16 41 52,16h41m52s,130 58.7,-40 58.7,-40°58.7',"a cluster, extremely large, extremely rich (in Milky Way)"
NGC 6228,,,16 42 18,16h42m18s,63 33,26 27,26°27',"very faint, small"
NGC 6229,,,16 43 03,16h43m03s,42 13.3,47 46.7,47°46.7',"a globular cluster, very bright, large, round, disc and faint border, mottled but not resolved"
NGC 6230,,,16 43 47,16h43m47s,85 07.8,4 52.2,4°52.2',"most extremely faint, pretty small, round, very difficult"
NGC 6231,,,16 44 15,16h44m15s,131 33.6,-41 33.6,-41°33.6',"a cluster, bright, considerably large, pretty rich, stars from 10th to 13th magnitude"
NGC 6232,,,16 44 22,16h44m22s,19 06.8,70 53.2,70°53.2',"pretty faint, pretty large, a little extended"
NGC 6233,,,16 44 24,16h44m24s,66 10.6,23 49.4,23°49.4',"pretty faint, small, round, gradually brighter middle"
NGC 6234,,,16 45 01,16h45m01s,85 24,4 36,4°36',"faint, small, round"
NGC 6235,,,16 45 03,16h45m03s,111 56.3,-21 56.3,-21°56.3',"pretty bright, considerably large, irregularly round, well resolved, clearly consisting of stars, stars from 14th to 16th magnitude"
NGC 6236,,,16 45 24,16h45m24s,18 58.4,71 1.6,71°1.6',"faint, pretty large"
NGC 6237,,,16 45 24,16h45m24s,19 06.9,70 53.1,70°53.1',"extremely faint, small, extended"
NGC 6238,,,16 45 38,16h45m38s,27 36.2,62 23.8,62°23.8',"most extremely faint, extremely small, extremely faint star close, very difficult"
NGC 6239,,,16 45 39,16h45m39s,47 00.8,42 59.2,42°59.2',"very faint, extended, binuclear northwest-southeast"
NGC 6240,,,16 45 55,16h45m55s,87 22.0,2 38,2°38',"very faint, pretty large, a little extended, diffuse"
NGC 6241,,,16 46 00,16h46m00s,44 20.4,45 39.6,45°39.6',"extremely faint, pretty small"
NGC 6242,,,16 46 04,16h46m04s,129 16.2,-39 16.2,-39°16.2',"a cluster, bright, large, rich, stars from 8th to 11th magnitude"
NGC 6243,,,16 46 34,16h46m34s,66 26.0,23 34,23°34',"very faint, very small, irregular figure, diffuse"
NGC 6244,,,16 46 38,16h46m38s,27 32.7,62 27.3,62°27.3',"very faint, very small, round, between 2 stars, northeastern of 2"
NGC 6245,,,16 46 45,16h46m45s,18 56.9,71 3.1,71°3.1',"very faint, pretty large, round"
NGC 6246,,,16 46 55,16h46m55s,34 12.8,55 47.2,55°47.2',"extremely faint, small, round"
NGC 6247,,,16 47 00,16h47m00s,26 47.5,63 12.5,63°12.5',"faint, pretty small, irregular figure"
NGC 6248,,,16 47 13,16h47m13s,19 24.4,70 35.6,70°35.6',"most extremely faint, pretty large, round, very difficult"
NGC 6249,,,16 47 34,16h47m34s,134 33.3,-44 33.3,-44°33.3',"a cluster, pretty rich, very little compressed, irregular figure, stars large and small"
NGC 6250,,,16 47 41,16h47m41s,135 42.4,-45 42.4,-45°42.4',"a cluster, large, a little rich, a little compressed, stars from 8th to 12th magnitude"
NGC 6251,,,16 47 55,16h47m55s,07 09.0,82 51,82°51',"considerably faint, small, brighter middle, western of 2"
NGC 6252,,,16 47 58,16h47m58s,07 06.0,82 54,82°54',"very faint, very small, eastern of 2"
NGC 6253,,,16 48 03,16h48m03s,142 28.9,-52 28.9,-52°28.9',"a cluster, small, triangular, stars of 13th magnitude"
NGC 6254,,,16 49 47,16h49m47s,93 52.7,-3 52.7,-3°52.7',"a remarkable object, a globular cluster, bright, very large, round, gradually very much brighter middle, well resolved, clearly consisting of stars, stars from 10th to 15th magnitude"
NGC 6255,,,16 49 48,16h49m48s,53 16.8,36 43.2,36°43.2',"extremely faint, considerably large, extended 90°"
NGC 6256,,,16 50 09,16h50m09s,126 53.5,-36 53.5,-36°53.5',"a globular cluster, very faint, very large, irregularly round, very gradually brighter middle, well resolved, clearly consisting of stars"
NGC 6257,,,16 50 12,16h50m12s,50 09.6,39 50.4,39°50.4',"very faint (very small double star?), faint double star to northeast"
NGC 6258,,,16 50 31,16h50m31s,29 14.4,60 45.6,60°45.6',"extremely faint, very small, round, bright star and double star to west"
NGC 6259,,,16 50 37,16h50m37s,134 26.9,-44 26.9,-44°26.9',"a remarkable object, a cluster, bright, very large, very rich, stars from 11th magnitude"
NGC 6260,,,16 50 43,16h50m43s,26 03.0,63 57,63°57',"extremely faint, pretty small, round, several stars near to southeast"
NGC 6261,,,16 50 56,16h50m56s,61 48.0,28 12,28°12',"extremely faint, extremely small, irregular figure"
NGC 6262,,,16 51 03,16h51m03s,32 51.0,57 9,57°9',"most extremely faint, pretty small, round, very difficult"
NGC 6263,,,16 51 11,16h51m11s,61 57.0,28 3,28°3',"very faint, very small, round"
NGC 6264,,,16 51 44,16h51m44s,61 55.4,28 4.6,28°4.6',"extremely faint, very small"
NGC 6265,,,16 51 57,16h51m57s,61 55.9,28 4.1,28°4.1',"extremely faint, very small"
NGC 6266,,,16 52 19,16h52m19s,119 53.8,-29 53.8,-29°53.8',"a remarkable object, a globular cluster, very bright, large, gradually much brighter middle, well resolved, clearly consisting of stars, stars of 14th to 16th magnitude"
NGC 6267,,,16 52 22,16h52m22s,66 46.9,23 13.1,23°13.1',"very faint, pretty large, round, a little brighter middle"
NGC 6268,,,16 52 26,16h52m26s,129 30.8,-39 30.8,-39°30.8',"a cluster, bright, pretty large, considerably rich, stars from 10th magnitude"
NGC 6269,,,16 52 26,16h52m26s,61 55.3,28 4.7,28°4.7',"faint, small, round"
NGC 6270,,,16 53 12,16h53m12s,61 55.2,28 4.8,28°4.8',"extremely faint, small, round"
NGC 6271,,,16 53 18,16h53m18s,61 49,28 11,28°11',"very faint, round"
NGC 6272,,,16 53 26,16h53m26s,61 52,28 8,28°8',very faint
NGC 6273,,,16 53 59,16h53m59s,116 03.2,-26 3.2,-26°3.2',"a globular cluster, very bright, large, round, very compressed middle, well resolved, clearly consisting of stars, stars of 16th magnitude"
NGC 6274,,,16 54 08,16h54m08s,60 02,29 58,29°58',"extremely faint, very small"
NGC 6275,,,16 54 12,16h54m12s,26 32.4,63 27.6,63°27.6',"most extremely faint, small, a little extended, very difficult"
NGC 6276,,,16 54 52,16h54m52s,66 44.9,23 15.1,23°15.1',extremely faint
NGC 6277,,,16 54 56,16h54m56s,66 45.2,23 14.8,23°14.8',extremely faint
NGC 6278,,,16 54 58,16h54m58s,66 46.8,23 13.2,23°13.2',"very faint, stellar"
NGC 6279,,,16 55 03,16h55m03s,42 32.7,47 27.3,47°27.3',"very faint, pretty small, a little extended, coarse double star to northwest"
NGC 6280,,,16 55 10,16h55m10s,83 07,6 53,6°53',"pretty bright, small, a little extended"
NGC 6281,,,16 55 16,16h55m16s,127 40.9,-37 40.9,-37°40.9',"a cluster, large, pretty rich, a little compressed, stars from 9th to 11th magnitude"
NGC 6282,,,16 55 21,16h55m21s,59 58,30 2,30°2',"very faint, small, round"
NGC 6283,,,16 55 53,16h55m53s,39 51.6,50 8.4,50°8.4',"very faint, considerably small, irregularly round"
NGC 6284,,,16 55 56,16h55m56s,114 33.8,-24 33.8,-24°33.8',"a globular cluster, bright, large, round, compressed middle, well resolved, clearly consisting of stars, stars from 16th magnitude"
NGC 6285,,,16 56 07,16h56m07s,30 48.8,59 11.2,59°11.2',"most extremely faint, small, round, very difficult, northwestern of 2"
NGC 6286,,,16 56 17,16h56m17s,30 51.0,59 9,59°9',"extremely faint, pretty small, round"
NGC 6287,,,16 56 44,16h56m44s,112 30.6,-22 30.6,-22°30.6',"a globular cluster, considerably bright, large, round, gradually pretty much compressed middle, well resolved, clearly consisting of stars, stars from 16th magnitude"
NGC 6288,,,16 58 05,16h58m05s,21 19.8,68 40.2,68°40.2',"extremely faint, very small, round, southwestern of 2"
NGC 6289,,,16 58 36,16h58m36s,21 17.8,68 42.2,68°42.2',"extremely faint, pretty large, much extended, northeastern of 2"
NGC 6290,,,16 58 37,16h58m37s,30 49.6,59 10.4,59°10.4',"extremely faint, pretty small, round, star close to east"
NGC 6291,,,16 58 37,16h58m37s,30 51.6,59 8.4,59°8.4',"most extremely faint, extremely small, round"
NGC 6292,,,17 00 52,17h00m52s,28 45.8,61 14.2,61°14.2',"extremely faint, extended, very difficult, faint star near"
NGC 6293,,,17 01 28,17h01m28s,116 23.2,-26 23.2,-26°23.2',"a globular cluster, very bright, large, round, pretty suddenly brighter middle, well resolved, clearly consisting of stars, stars from 16th magnitude"
NGC 6294,,,17 01 34,17h01m34s,116 22.6,-26 22.6,-26°22.6',"faint, small, very gradually brighter middle, globular cluster to west"
NGC 6295,,,17 01 36,17h01m36s,29 25.6,60 34.4,60°34.4',"extremely faint, small, much extended, faint star near"
NGC 6296,,,17 01 46,17h01m46s,85 53,4 7,4°7',pretty bright
NGC 6297,,,17 01 50,17h01m50s,27 46.8,62 13.2,62°13.2',"pretty bright, pretty small, round, between 2 stars, western of 2"
NGC 6298,,,17 01 55,17h01m55s,27 46.8,62 13.2,62°13.2',"very faint, extremely small, round, between 2 stars, eastern of 2"
NGC 6299,,,17 03 39,17h03m39s,27 21.9,62 38.1,62°38.1',"very faint, very small, round"
NGC 6300,,,17 03 52,17h03m52s,152 39.1,-62 39.1,-62°39.1',"faint, very large, very little extended, among stars, 2 stars involved"
NGC 6301,,,17 04 10,17h04m10s,47 29.3,42 30.7,42°30.7',"faint, stellar"
NGC 6302,,,17 04 17,17h04m17s,126 56.1,-36 56.1,-36°56.1',"pretty bright, extended east-west (Swift: triple)"
NGC 6303,,,17 05 06,17h05m06s,21 27.6,68 32.4,68°32.4',"extremely faint, pretty large, much extended, nearly between 2 stars"
NGC 6304,,,17 05 40,17h05m40s,119 17.3,-29 17.3,-29°17.3',"a globular cluster, bright, considerably large, round, a little brighter middle, well resolved, clearly consisting of stars, stars from 16th magnitude"
NGC 6305,,,17 05 46,17h05m46s,149 00.4,-59 00.4,-59°00.4',"very faint, very small, round, gradually a little brighter middle"
NGC 6306,,,17 05 53,17h05m53s,29 06.0,60 54,60°54',"very faint, very small, a little extended"
NGC 6307,,,17 05 59,17h05m59s,29 04.0,60 56,60°56',"very faint, very small, a little extended, 13th magnitude star near to north"
NGC 6308,,,17 06 08,17h06m08s,66 27,23 33,23°33',"very faint, small, round, suddenly brighter middle"
NGC 6309,,,17 06 12,17h06m12s,102 44.5,-12 44.5,-12°44.5',"bright, small, between 2 stars very near"
NGC 6310,,,17 06 15,17h06m15s,28 50.0,61 10,61°10',"faint, pretty large, a little extended"
NGC 6311,,,17 06 16,17h06m16s,48 10.5,41 49.5,41°49.5',"pretty bright, very small, round"
NGC 6312,,,17 06 24,17h06m24s,47 32.3,42 27.7,42°27.7',"extremely faint, irregularly round, diffuse, very small star involved"
NGC 6313,,,17 06 42,17h06m42s,41 27.4,48 32.6,48°32.6',"most extremely faint, very small, a little extended, between 2 faint stars"
NGC 6314,,,17 06 48,17h06m48s,66 33,23 27,23°27',"faint, very small, round, brighter middle"
NGC 6315,,,17 06 53,17h06m53s,66 36,23 24,23°24',"extremely faint, small"
NGC 6316,,,17 07 49,17h07m49s,117 58.5,-27 58.5,-27°58.5',"a globular cluster, considerably bright, pretty small, round, gradually very much brighter middle, well resolved, clearly consisting of stars, stars from 16th magnitude"
NGC 6317,,,17 08 01,17h08m01s,26 55.6,63 4.4,63°4.4',"most extremely faint, small, round, faint star near, southwestern of 2"
NGC 6318,1.0,,17 08 04,17h08m04s,129 17.2,-39 17.2,-39°17.2',"a cluster, pretty large, rich, round, gradually brighter middle, stars from 12th to 14th magnitude"
NGC 6319,,,17 08 07,17h08m07s,26 51.4,63 8.6,63°8.6',"very faint, very small, round, a little brighter middle, northeastern of 2"
NGC 6320,,,17 08 20,17h08m20s,49 34.3,40 25.7,40°25.7',"extremely faint, 13th magnitude star 0.5 seconds of time to west"
NGC 6321,,,17 08 23,17h08m23s,69 31.3,20 28.7,20°28.7',"extremely faint, irregularly round, pretty small, very little brighter middle"
NGC 6322,,,17 08 45,17h08m45s,132 43.5,-42 43.5,-42°43.5',"a cluster, very large, pretty rich, a little compressed (place is that of northeastern star)"
NGC 6323,,,17 09 04,17h09m04s,46 03.4,43 56.6,43°56.6',"extremely faint, very small, difficult"
NGC 6324,,,17 09 15,17h09m15s,14 23.4,75 36.6,75°36.6',"very faint, small, extended, small star to south"
NGC 6325,,,17 09 31,17h09m31s,113 35.9,-23 35.9,-23°35.9',"pretty faint, large, round, partially resolved (some stars seen)"
NGC 6326,,,17 09 41,17h09m41s,141 35.5,-51 35.5,-51°35.5',"a magnificent or otherwise interesting object, a planetary nebula, pretty bright, very small, round"
NGC 6327,,,17 09 49,17h09m49s,46 11.3,43 48.7,43°48.7',"extremely faint, very small, difficult"
NGC 6328,,,17 09 58,17h09m58s,154 51.4,-64 51.4,-64°51.4',"very faint, very small, very little extended, gradually a little brighter middle"
NGC 6329,,,17 10 00,17h10m00s,46 09.4,43 50.6,43°50.6',"very faint, very small, round, brighter middle"
NGC 6330,,,17 10 19,17h10m19s,60 26.3,29 33.7,29°33.7',"extremely faint, small, round"
NGC 6331,,,17 10 45,17h10m45s,11 12.7,78 47.3,78°47.3',"extremely faint, small"
NGC 6332,,,17 10 48,17h10m48s,46 11.8,43 48.2,43°48.2',"very faint, oval, irregularly brighter middle"
NGC 6333,,,17 11 00,17h11m00s,108 21.9,-18 21.9,-18°21.9',"a globular cluster, bright, large, round, extremely compressed middle, well resolved, clearly consisting of stars, stars from 14th magnitude"
NGC 6334,,,17 11 03,17h11m03s,125 54.9,-35 54.9,-35°54.9',"considerably faint, very large, irregularly considerably extended, very gradually a little brighter on east, 8th magnitude star involved"
NGC 6335,1.0,1.0,17 11 36,17h11m36s,120 00,-30 00,-30°00',a diffuse nebula in patches
NGC 6336,,,17 12 03,17h12m03s,46 01.7,43 58.3,43°58.3',"very faint, very small, round, brighter middle"
NGC 6337,,,17 12 40,17h12m40s,128 20.0,-38 20,-38°20',"a magnificent or otherwise interesting object, an annular nebula, extremely faint, small, among stars"
NGC 6338,,,17 12 41,17h12m41s,32 24.1,57 35.9,57°35.9',"faint, small, round, very gradually a little brighter middle"
NGC 6339,,,17 12 42,17h12m42s,48 58.2,41 1.8,41°1.8',"very faint, large, irregularly round, southwestern of 2"
NGC 6340,,,17 12 44,17h12m44s,17 32.1,72 27.9,72°27.9',"considerably faint, pretty large, round, very gradually much brighter middle"
NGC 6341,,,17 12 51,17h12m51s,46 42.6,43 17.4,43°17.4',"a globular cluster, very bright, very large, extremely compressed middle, well resolved, clearly consisting of stars, stars small"
NGC 6342,,,17 12 55,17h12m55s,109 26.5,-19 26.5,-19°26.5',"considerably bright, pretty small, a little extended, extremely mottled but not resolved"
NGC 6343,,,17 12 57,17h12m57s,48 46.2,41 13.8,41°13.8',"very faint, small, a little extended, northeastern of 2"
NGC 6344,,,17 12 57,17h12m57s,47 25.0,42 35,42°35',"faint, small, round, 12th magnitude star to northeast, near"
NGC 6345,,,17 12 59,17h12m59s,32 27.3,57 32.7,57°32.7',"most extremely faint, very small, round, 2nd of 3"
NGC 6346,,,17 13 02,17h13m02s,32 29.0,57 31,57°31',"most extremely faint, small, round, 3rd of 3"
NGC 6347,,,17 13 40,17h13m40s,73 11.6,16 48.4,16°48.4',"extremely faint, irregularly round, diffuse"
NGC 6348,,,17 13 55,17h13m55s,48 12.3,41 47.7,41°47.7',"extremely faint, very small, irregularly round, a little brighter middle"
NGC 6349,,,17 14 11,17h14m11s,53 47.7,36 12.3,36°12.3',"very faint, extremely small, round, a little brighter middle, western of 2"
NGC 6350,,,17 14 16,17h14m16s,48 09.6,41 50.4,41°50.4',"pretty faint, pretty small, gradually brighter middle"
NGC 6351,,,17 14 16,17h14m16s,53 47.8,36 12.2,36°12.2',"very faint, very small, fainter than preceding (western) one"
NGC 6352,,,17 14 50,17h14m50s,138 20,-48 20,-48°20',"pretty faint, large"
NGC 6353,,,17 14 53,17h14m53s,74 10.2,15 49.8,15°49.8',"pretty bright, pretty small, 3 small stars involved, 10th magnitude star 1 arcmin to northeast"
NGC 6354,,,17 15 02,17h15m02s,128 24,-38 24,-38°24',"extremely faint, small"
NGC 6355,,,17 15 16,17h15m16s,116 12.7,-26 12.7,-26°12.7',"considerably faint, large, round, gradually brighter middle, well resolved, clearly consisting of stars"
NGC 6356,,,17 15 26,17h15m26s,107 40.5,-17 40.5,-17°40.5',
NGC 6357,,,17 15 28,17h15m28s,124 03.1,-34 3.1,-34°3.1',"faint, large, extended, very gradually a little brighter middle, double star involved"
NGC 6358,,,17 15 41,17h15m41s,37 13.1,52 46.9,52°46.9',"extremely faint, small, round, double star near to northwest"
NGC 6359,,,17 16 27,17h16m27s,28 04.5,61 55.5,61°55.5',"pretty bright, small, round, bright middle and nucleus equal to 12th magnitude star"
NGC 6360,,,17 16 28,17h16m28s,119 51.6,-29 51.6,-29°51.6',
NGC 6361,,,17 16 52,17h16m52s,29 14.4,60 45.6,60°45.6',"very faint, pretty small, much extended, nearly between 2 stars"
NGC 6362,,,17 17 23,17h17m23s,156 55.8,-66 55.8,-66°55.8',
NGC 6363,,,17 18 10,17h18m10s,48 45.9,41 14.1,41°14.1',"very faint, small, round, gradually brighter middle"
NGC 6364,,,17 19 01,17h19m01s,60 28.7,29 31.3,29°31.3',"pretty faint, very small, round, brighter middle equivalent to 13th magnitude star"
NGC 6365,,,17 20 16,17h20m16s,27 42.3,62 17.7,62°17.7',"most extremely faint, pretty large, irregularly round, extremely faint star involved, star to southeast"
NGC 6366,,,,,,,,
NGC 6367,,,17 20 22,17h20m22s,52 07.0,37 53,37°53',
NGC 6368,,,17 20 39,17h20m39s,78 20,11 40,11°40',"faint, small, extended"
NGC 6369,,,17 20 49,17h20m49s,113 38.5,-23 38.5,-23°38.5',"very remarkable, an annular nebula, pretty bright, small, round"
NGC 6370,,,17 20 54,17h20m54s,32 53.7,57 6.3,57°6.3',"very faint, very small, round, bright star near to north"
NGC 6371,,,17 21 43,17h21m43s,63 22,26 38,26°38',"very faint, small, round, northwestern of 2"
NGC 6372,,,17 21 55,17h21m55s,63 24.8,26 35.2,26°35.2',"very faint, pretty small, irregular figure, southeastern of 2"
NGC 6373,,,17 22 08,17h22m08s,30 52.5,59 7.5,59°7.5',"most extremely faint, pretty large, very difficult"
NGC 6374,,,17 22 58,17h22m58s,122 28.8,-32 28.8,-32°28.8',
NGC 6375,,,17 23 06,17h23m06s,73 40,16 20,16°20',"faint, very small, round"
NGC 6376,,,17 23 18,17h23m18s,31 03.4,58 56.6,58°56.6',"most extremely faint, extremely small, round, very difficult"
NGC 6377,,,17 23 23,17h23m23s,31 03.1,58 56.9,58°56.9',"extremely faint, extremely small, round, a little brighter middle"
NGC 6378,,,17 23 53,17h23m53s,83 36.4,6 23.6,6°23.6',very difficult
NGC 6379,,,17 24 20,17h24m20s,73 35,16 25,16°25',"very faint, pretty large"
NGC 6380,,,17 24 47,17h24m47s,128 58.0,-38 58,-38°58',"extremely faint, pretty small, a little extended, 9th magnitude star attached"
NGC 6381,,,17 25 25,17h25m25s,29 52.7,60 7.3,60°7.3',"very faint, pretty large, extended"
NGC 6382,,,17 25 33,17h25m33s,33 01.3,56 58.7,56°58.7',"pretty faint, pretty small, round"
NGC 6383,,,17 25 34,17h25m34s,122 28.6,-32 28.6,-32°28.6',
NGC 6384,,,17 25 38,17h25m38s,82 50.0,7 10,7°10',"pretty bright, small, very little extended"
NGC 6385,,,17 25 39,17h25m39s,32 21.6,57 38.4,57°38.4',"extremely faint, small, round, bright star to south"
NGC 6386,,,17 25 56,17h25m56s,37 10.4,52 49.6,52°49.6',"very faint, pretty small, round, between 2 stars"
NGC 6387,,,17 25 59,17h25m59s,32 20.6,57 39.4,57°39.4',"extremely faint, small, round"
NGC 6388,,,17 26 03,17h26m03s,134 38.5,-44 38.5,-44°38.5',
NGC 6389,,,17 26 24,17h26m24s,73 30.5,16 29.5,16°29.5',"faint, small, irregular figure, extremely mottled but not resolved"
NGC 6390,,,17 26 31,17h26m31s,29 41.7,60 18.3,60°18.3',"most extremely faint, much extended, very difficult"
NGC 6391,,,17 26 33,17h26m33s,31 02.2,58 57.8,58°57.8',"extremely faint, very small, round, nearly between 2 stars"
NGC 6392,,,17 27 58,17h27m58s,159 41.3,-69 41.3,-69°41.3',"considerably faint, small, round, gradually a little brighter middle, 13th magnitude star to southwest"
NGC 6393,,,17 28 25,17h28m25s,30 15.4,59 44.6,59°44.6',"extremely faint, pretty small, round, southern of 2"
NGC 6394,,,17 28 25,17h28m25s,30 11.8,59 48.2,59°48.2',"extremely faint, pretty small, round, northern of 2"
NGC 6395,,,17 28 50,17h28m50s,18 48.2,71 11.8,71°11.8',"very faint, pretty large, a little extended, double star to north"
NGC 6396,,,17 28 51,17h28m51s,124 54.8,-34 54.8,-34°54.8',
NGC 6397,,,17 29 17,17h29m17s,143 35.1,-53 35.1,-53°35.1',
NGC 6398,,,17 29 49,17h29m49s,151 36.1,-61 36.1,-61°36.1',"extremely faint, small, round, preceding of 2"
NGC 6399,,,17 29 50,17h29m50s,30 17.8,59 42.2,59°42.2',"extremely faint, very small, round"
NGC 6400,,,17 30 02,17h30m02s,126 51.5,-36 51.5,-36°51.5',"a cluster, pretty large, pretty rich, irregularly round, stars from 9th to 10th magnitude"
NGC 6401,,,17 30 06,17h30m06s,113 49.6,-23 49.6,-23°49.6',"pretty bright, pretty large, round, 12th magnitude star involved on east"
NGC 6402,,,17 30 15,17h30m15s,93 09.5,-3 9.5,-3°9.5',"a remarkable object, a globular cluster, bright, very large, round, extremely rich, very gradually much brighter middle, well resolved, clearly consisting of stars, stars from 15th magnitude"
NGC 6403,,,17 30 19,17h30m19s,151 36.1,-61 36.1,-61°36.1',"most extremely faint, eastern of 2"
NGC 6404,,,17 30 26,17h30m26s,123 09.3,-33 9.3,-33°9.3',"a cluster, faint, large, pretty rich, a little compressed, stars from 13th to 15th magnitude"
NGC 6405,,,17 30 56,17h30m56s,122 07.1,-32 7.1,-32°7.1',"a cluster, large, irregularly round, a little compressed, stars of 7th magnitude and from 10th magnitude"
NGC 6406,,,17 32 14,17h32m14s,71 05,18 55,18°55',"very faint, extremely small, stellar"
NGC 6407,,,17 32 15,17h32m15s,150 39.7,-60 39.7,-60°39.7',"extremely faint, small, round, 3 stars near"
NGC 6408,,,17 32 41,17h32m41s,71 02.4,18 57.6,18°57.6',"faint, small, irregularly round, gradually brighter middle"
NGC 6409,,,17 32 46,17h32m46s,39 08.9,50 51.1,50°51.1',"very faint, small, round"
NGC 6410,,,17 33 33,17h33m33s,29 05.6,60 54.4,60°54.4',"most extremely faint, small, round, nearly between 2 stars, southwestern of 2"
NGC 6411,,,17 33 56,17h33m56s,29 06.7,60 53.3,60°53.3',"very small, gradually brighter middle"
NGC 6412,,,17 34 08,17h34m08s,14 11.2,75 48.8,75°48.8',"a globular cluster, considerably large, round, very gradually brighter middle, partially resolved (some stars seen)"
NGC 6413,,,17 34 13,17h34m13s,77 18.0,12 42,12°42',"very faint, very small, suddenly much brighter middle"
NGC 6414,,,17 34 27,17h34m27s,15 33.0,74 27,74°27',"most extremely faint, pretty small, round, very difficult, between 2 stars"
NGC 6415,,,17 35,17h35m00s,124 56.5,-34 56.5,-34°56.5',
NGC 6416,,,17 35 09,17h35m09s,122 17.0,-32 17,-32°17',"a cluster, very large, rich, a little compressed"
NGC 6417,,,17 36 00,17h36m00s,66 15,23 45,23°45',"pretty faint, small, very little brighter middle"
NGC 6418,,,17 36 16,17h36m16s,31 11.4,58 48.6,58°48.6',"extremely faint, pretty small, round"
NGC 6419,,,17 36 26,17h36m26s,21 45.6,68 14.4,68°14.4',"most extremely faint, extremely small, round, very difficult"
NGC 6420,,,17 36 26,17h36m26s,21 52.3,68 7.7,68°7.7',"most extremely faint, extremely small, round, very difficult"
NGC 6421,,,17 36 30,17h36m30s,123 37.6,-33 37.6,-33°37.6',"a cluster, very large, pretty rich, stars from 8th to 12th magnitude"
NGC 6422,,,17 36 46,17h36m46s,21 51.8,68 8.2,68°8.2',"extremely faint, pretty small, round, nearly between 2 stars"
NGC 6423,,,17 37 16,17h37m16s,21 45.8,68 14.2,68°14.2',"most extremely faint, very small, round, star close to east"
NGC 6424,,,17 37 25,17h37m25s,19 56.2,70 3.8,70°3.8',"very faint, pretty small, round"
