No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N0254,140,2347,...,...,00,40,41,,+2.92,122,11.5,,-19.7,"vB, pS, lE, smbM, *8 nf 5'",...
N0255,141,62,II 472,...,00,40,44,,+3.02,102,14.7,,-19.7,"F, pS, R, gbM",...
N0256,142,2348,...,...,00,40,44,,+2.22,164,16.7,,-19.7,"F, S, R, gbM, *9 nf 40""",...
N0257,143,...,II 863,...,00,40,47,,+3.11,82,27.2,,-19.7,"pL, lE, gbM, r",...
N0258,137,...,...,Ld R,00,40,50,,+3.20,63,07,,-19.7,"eF, S, vF st close",...
N0259,144=145,63=64,II 703=II 621,...,00,40,54,,+3.06,93,32.7,,-19.7,"F, S, E 135d, lbM",*
N0260,5118,...,...,d'A,00,41,08,,+3.20,63,04.8,,-19.7,"eF, pS, lE",...
N0261,146,2349,...,"Dunlop 3, 4, 21?",00,41,24,,+2.23,163,52.1,,-19.7,"F, pL, R, gbM *13",...
N0262,...,...,...,Sw II,00,41,29,,+3.23,58,48.4,,-19.7,"eF, vS, R, v diffic",...
N0263,...,...,...,L I,00,41,30,,+3.01,103,53.9,,-19.7,"eF, vS, lE 30",...
N0264,147,2350,...,...,00,41,42,,+2.87,129,00.3,,-19.7,"F, S, R, vsmbM *13",...
N0265,148,2351,...,...,00,42,04,,+2.20,164,15.1,,-19.7,"F, pS, R",...
N0266,149,65,III 153,...,00,42,14,,+3.23,58,29.2,,-19.7,"pB, pS, lE, psbM, r, *8 sf 4'",...
N0267,150,2352,...,...,00,42,50,,+2.20,164,02.6,,-19.7,"Cl, F, pL, st vS",...
N0268,151,66,III 463,...,00,43,01,,+3.05,95,58.0,,-19.7,"vF, pS, ilE, r",...
N0269,152,2353,...,...,00,43,21,,+2.17,164,18.0,,-19.7,"vF, S, R",...
N0270,153,...,III 955,...,00,43,29,,+3.03,99,25.7,,-19.7,"pF, vS, iR, pgbM",...
N0271,154,67,II 446,...,00,43,34,,+3.06,92,40.4,,-19.7,"pF, S, lE, psbM, *8 f 5.5'",...
N0272,5119,...,...,d'A,00,43,41,,+3.26,54,19.7,,-19.7,"Cl, L, lC",...
N0273,155,...,III 430,Tempel,00,43,47,,+3.04,97,39.3,,-19.7,"vf, vS",#
N0274,156,69,III 429,...,00,43,57,,+3.04,97,49.7,,-19.7,"pB, pS, smbM, np of 2",#
N0275,157,70,...,...,00,44,00,,+3.04,97,50.2,,-19.7,"vF, S, R, sf of 2",#
N0276,...,...,...,Mu II,00,44,01,,+2.96,113,27.9,,-19.7,"eF, pS, E 265d, *11 n 3'",...
N0277,5120,...,...,d'A,00,44,12,,+3.03,99,21.2,,-19.7,"F, pS, *11 np",...
N0278,158,71,I 159,...,00,44,12,,+3.35,43,12.3,,-19.7,"cB, pL, R, 2 st 10 nr",...
N0279,159,73,III 439,...,00,45,00,,+3.06,92,59.2,,-19.7,"vF, S, iR, bM, stellar",...
N0280,160,72,III 477,...,00,45,00,,+3.19,66,25.4,,-19.7,"eF, S, R, [*] 15 f 30""",...
N0281,...,...,...,Barnard,00,45,07,,+3.47,34,10,,-19.6,"F, vL, dif, S triple * on np edge",...
N0282,...,...,...,St X,00,45,11,,+3.23,60,07.4,,-19.6,"F, S, R, lbM",...
N0283,...,...,...,L I,00,45,30,,+3.01,103,55.8,,-19.6,"eF, S, R, 1st of 4",...
N0284,...,...,...,L I,00,45,30,,+3.01,103,55.8,,-19.6,"eF, S, R, 2nd of 4",...
N0285,...,...,...,L I,00,45,30,,+3.01,103,55.8,,-19.6,"eF, S, R, 3rd of 4",...
N0286,...,...,...,L I,00,45,30,,+3.01,103,53.8,,-19.6,"eF, S, R, 4th of 4",...
N0287,161,75,...,...,00,45,52,,+3.24,58,17.0,,-19.6,"eF, S, R (? RA 46m 52s)",*
N0288,162,74=2354,VI 20,...,00,45,52,,+2.93,117,20.7,,-19.6,"GC, B, L, lE, st 12...16",...
N0289,163,2355,...,...,00,45,58,,+2.90,121,57.9,,-19.6,"vB, L, pmE, gbM, *11 np",...
N0290,164,2357,...,...,00,46,17,,+2.14,163,54.8,,-19.6,eF,...
N0291,5121,...,...,m 17,00,46,27,,+3.03,99,32,,-19.6,"vF, vS, lE, alm stellar",...
N0292,165,2356,...,...,00,46,34,,+2.12,164,06.6,,-19.6,"Cl, F, eeL, R, st 12...18",*
N0293,5122,...,...,m 18,00,47,11,,+3.03,98,00,,-19.6,"vF, S",...
N0294,166,2358,...,"Dunlop 5, 6?",00,47,15,,+2.10,164,08.5,,-19.6,"vF, pL, R, vglbM, r",...
N0295,5123,...,...,Copeland (R),00,47,30,,+3.24,59,13.8,,-19.6,"F, S, R, *10"" n, II 214 nf",...
N0296,167,...,II 214,...,00,47,52,,+3.24,59,11.3,,-19.6,"F, lE, *10 nf 2'",*
N0297,5124,...,...,m 19,00,47,56,,+3.03,98,07,,-19.6,eF,...
N0298,5125,...,...,m 20,00,47,58,,+3.03,98,06,,-19.6,pF,...
N0299,168,2360,...,...,00,48,23,,+2.15,162,57.4,,-19.6,"pB, vS, R, gvlbR, r",...
N0300,169,2359,...,...,00,48,25,,+2.84,128,27.1,,-19.6,"pB, vL, vmE, vgpmbM",*#
N0301,...,...,...,Mu I,00,48,30,,+3.01,101,25.8,,-19.6,"eF, S, iR, gbM, *8 p 30sec",...
N0302,...,...,...,Mu I,00,48,30,,+3.01,101,24.8,,-19.6,"eF, vS",...
N0303,...,...,...,L I,00,48,30,,+2.98,107,25.8,,-19.6,"eF, vS",...
N0304,...,...,...,St IX,00,48,39,,+3.20,66,37.8,,-19.6,"pF, S, R, svlbM",...
N0305,170,76,...,...,00,49,00,,+3.13,78,40.9,,-19.6,"Cl, S, sc st",...
N0306,171,2361,...,...,00,49,16,,+2.13,163,00.0,,-19.6,"F, vS",...
N0307,172,77,...,...,00,49,25,,+3.06,92,31.5,,-19.6,"pF, S, E",...
N0308,5126,...,...,Ball (R),00,49,27,,+3.06,92,32.2,,-19.6,"vF, eS, 1' sf h 77",...
N0309,5127,...,...,T I,00,49,30,,+3.02,100,42.5,,-19.6,"pB, pL, *12-13 n",...
N0310,5128,...,...,Ball (R),00,49,41,,+3.06,92,31.1,,-19.6,Stellar,...
N0311,173,78,...,...,00,49,58,,+3.24,60,28.6,,-19.6,"pF, vS, R, gbM",...
N0312,174,2363,...,...,00,50,04,,+2.68,143,32.1,,-19.6,"F, S, R, *12 f",...
N0313,5059,...,...,Ld R,00,50,09,,+3.24,60,23.5,,-19.6,"vF, eS, 1  np II 210",...
N0314,175,2362,...,...,00,50,11,,+2.88,122,43.2,,-19.6,"eF, vS, R, pB * f 2'",...
N0315,176,79,II 210,...,00,50,13,,+3.24,60,24.4,,-19.6,"pB, pL, R, gbM, *9 nf 3'",...
N0316,5129,...,...,Ld R,00,50,16,,+3.24,60,24.3,,-19.6,"vF, eS, stellar, 1' f II 210",...
N0317,...,...,...,Sw II,00,50,16,,+3.35,46,56.7,,-19.6,"eeF, pS, lE, D* close f",...
N0318,177,...,...,"Ld R, St XII",00,50,28,,+3.24,60,19.8,,-19.6,"vF, vS, R, bM",...
N0319,178,4007,...,...,00,50,29,,+2.78,134,35.9,,-19.6,"eF, vS, R, lbM",*
N0320,...,...,...,L II,00,50,30,,+2.96,111,35.8,,-19.6,"vF, pS, E 160d, *10 n",...
N0321,5130,...,...,m 21,00,50,34,,+3.04,95,51,,-19.5,"eF, vS",...
N0322,179,4008,...,...,00,50,36,,+2.78,134,30.0,,-19.5,"vF, vS, R, lbM, 3 st p",*
N0323,180,2365,...,...,00,50,37,,+2.67,143,44.0,,-19.5,"pF, S, R, bM, p of 2",...
N0324,181,2364,...,...,00,50,40,,+2.81,131,12.6,,-19.5,"(?), F, S, stellar",...
N0325,5131,...,...,m 22,00,50,41,,+3.04,95,53,,-19.5,"vF, vS",...
N0326,5132,...,...,d'A,00,50,49,,+3.22,63,53.1,,-19.5,"F, lE, *9-10 sf",...
N0327,5133,...,...,m 23,00,50,50,,+3.04,95,54,,-19.5,"F, S, E",...
N0328,182,2366,...,...,00,50,52,,+2.67,143,40.0,,-19.5,"vF, lE, vgbM, f of 2",...
N0329,5134,...,...,m 24,00,50,56,,+3.04,95,50,,-19.5,"F, E",...
N0330,183,2367,...,Dunlop 23,00,51,27,,+2.08,163,13.6,,-19.5,"GC, vB, S, lE, st 13...15",...
N0331,...,...,...,L II,00,51,30,+-,+3.05,93,28.8,,-19.5,"eF, vS, R, lbM, *12 nf 3'",...
N0332,...,...,...,Sw V,00,51,32,,+3.11,83,38.5,,-19.5,"vF, S, R, sev st nr s",...
N0333,...,...,...,T I,00,51,54,,+2.98,107,18,,-19.5,No description,...
N0334,184,2368,...,...,00,52,11,,+2.85,125,53.4,,-19.5,"vF, S, R, glbM, 2 st 11 s",...
N0335,...,...,...,L I,00,52,30,,+2.97,109,01.8,,-19.5,"vF, pS, E, bM",...
N0336,...,...,...,L I,00,52,30,,+2.96,109,10.8,,-19.5,"vF, vS, R, sbM",...
N0337,185,80,II 433,...,00,52,46,,+3.03,98,19.9,,-19.5,"pF, L, E, glbM, *10 f 21sec",...
N0338,...,...,...,"T I, St XII",00,53,00,,+3.25,60,05.2,,-19.5,"vF, vS, iF, bM",...
N0339,186,2369,...,...,00,53,13,,+1.90,165,12.5,,-19.5,"F, L, R, vgbM",...
N0340,5135,...,...,m 25,00,53,30,,+3.03,97,37,,-19.5,"vF, S, E",...
N0341,...,...,...,St XII,00,53,44,,+3.02,99,56.6,,-19.5,"F, pL, R, lbM, r",...
N0342,5136,...,...,m 26,00,53,46,,+3.03,97,32,,-19.5,"vF, vS",...
N0343,...,...,...,Mu II,00,54,02,,+2.93,113,58.8,,-19.5,"eF, vS, iR, sbMN (?*)",...
N0344,...,...,...,Mu II,00,54,02,,+2.93,113,59.8,,-19.5,"eF, vS, iR, sbMN (?*)",...
N0345,5137,...,...,m 27,00,54,17,,+3.03,97,38,,-19.5,"vF, vS, gbM",...
N0346,187,2370,...,Dunlop 25,00,54,20,,+2.04,162,56.1,,-19.5,"B, L, viF, mbMD*, r",#
N0347,5138,...,...,m 28,00,54,31,,+3.03,97,30,,-19.5,"vF, vS",...
N0348,188,2371,...,...,00,54,45,,+2.63,143,59.8,,-19.5,"eF, S, R",...
N0349,5139,...,...,m 29,00,54,47,,+3.03,97,34,,-19.5,"vF, vS",...
N0350,5140,...,...,m 30,00,54,54,,+3.03,97,34,,-19.5,eF,...
N0351,...,...,...,Sw III,00,55,02,,+3.06,92,41.9,,-19.5,"eF, pS, np of 2",...
N0352,189,81,III 191,...,00,55,05,,+3.04,94,59.8,,-19.5,"pF, S, iE, *8 f 97sec",...
N0353,...,...,...,Sw III,00,55,24,,+3.06,92,43.4,,-19.4,"eF, pS, R, sf of 2",...
N0354,...,...,...,St XII,00,55,47,,+3.20,68,24.5,,-19.4,"vF, vS, R, vS * inv, *14 close p",...
N0355,5141,...,...,m 31,00,56,01,,+3.03,97,05,,-19.4,"eF, vS",...
N0356,5142,...,...,m 32,00,56,05,,+3.03,97,44,,-19.4,"vF, S, iR",...
N0357,190,82,II 434,...,00,56,16,,+3.03,97,05.8,,-19.4,"F, S, iR, sbM, *14 nf 20""",...
N0358,5143,...,...,d'A,00,56,28,,+3.68,28,42.7,,-19.4,"Cl, vl Ri",...
N0359,5144,...,...,m 33,00,57,08,,+3.07,91,31,,-19.4,"eF, vS",...
N0360,191,2372,...,...,00,57,27,,+2.31,156,21.5,,-19.4,"eF, vm E 145d, vlbM",...
N0361,192,2374,...,Dunlop 55??,00,57,29,,+2.02,162,22.6,,-19.4,"vvF, pL, vlE, vgbM",...
N0362,193,2375,...,Dunlop 62,00,57,29,,+2.07,161,36.0,,-19.4,"GC, vB, vL, vC, vmbM, st 13-14",...
N0363,...,...,...,L I,00,57,30,,+2.97,107,18.7,,-19.4,"eF, eS, R",...
N0364,5145,...,...,m 34,00,57,31,,+3.07,91,33,,-19.4,"vF, vS",...
N0365,194,2373,...,...,00,57,44,,+2.83,125,53.8,,-19.4,"F, S, R, glbM",...
N0366,195,83,...,...,00,57,46,,+3.70,28,34.1,,-19.4,"Cl, S",...
N0367,...,...,...,Mu II,00,57,54,,+2.99,102,53.7,,-19.4,"eF, pS, E 175d, bn, 3 st 12 np",...
N0368,196,4012,...,...,00,57,58,,+2.75,134,01.8,,-19.4,"eF, vS, *7-8 sp 3'",*
N0369,...,...,...,L I,00,58,30,,+2.96,108,33.7,,-19.4,"vF, vS, R, gbM",...
N0370,197,...,...,d'A,00,58,53,,+3.28,58,20.3,,-19.4,"vF, *13 s 15"", dif",...
N0371,198,2376,...,Dunlop 31??,00,58,56,,+1.97,162,48.5,,-19.4,"Cl, F, L, R, pC, st 14...16",...
N0372,5146,...,...,Dreyer (R),00,59,02,,+3.28,58,19.4,,-19.4,"Stellar, mbM, r",...
N0373,5147,...,...,Dreyer (R),00,59,14,,+3.29,58,26.6,,-19.4,"vF, vS",...
N0374,199,...,...,d'A,00,59,21,,+3.29,57,57.3,,-19.4,"F, S, bet 2 st 15",...
N0375,5148,...,...,Ld R*,00,59,23,,+3.29,58,24.2,,-19.4,"vF, vS",...
N0376,200,2378,...,Dunlop 36??,00,59,27,,+1.90,163,34.4,,-19.4,"GC, B, S, R",...
N0377,...,...,...,L I,00,59,30,,+2.94,110,47.7,,-19.4,"vF, vS, mE, sbMN",...
N0378,201,2377,...,...,00,59,32,,+2.86,120,55.9,,-19.4,"vF, S, R, gbM",...
N0379,202,84,II 215,...,00,59,34,,+3.29,58,13.8,,-19.4,"pF, S, R, bM",...
N0380,203,85,II 216,...,00,59,36,,+3.29,58,16.0,,-19.4,"pF, S, R, sbM",...
N0381,204,...,VIII 64,CH,00,59,40,,+3.70,29,10.0,,-19.4,"Cl, pC",...
N0382,205,...,...,"Ld R, d'A",00,59,42,,+3.29,58,20.7,,-19.4,"vF, S, R, sp of D neb",...
N0383,206,86,II 217,...,00,59,43,,+3.29,58,20.2,,-19.4,"pF, pL, R, gbM, nf of D neb",...
N0384,207,...,...,"Ld R, d'A",00,59,43,,+3.29,58,27.3,,-19.4,"pF, pS, sp of 2",...
N0385,208,...,...,"Ld R, d'A",00,59,45,,+3.29,58,25.7,,-19.4,"pF, pS, R, nf of 2",...
N0386,209,...,...,Ld R,00,59,48,,+3.29,58,23.3,,-19.4,"eF, S, R",...
N0387,5149,...,...,Ld R*,00,59,50,,+3.29,58,21.6,,-19.4,"vF, S, R",...
N0388,210,...,...,Ld R,01,00,04,,+3.29,58,27.3,,-19.3,"vF, S, R",...
N0389,...,...,...,Sw II,01,00,06,,+3.36,51,01.5,,-19.3,"eF, eS, R, * nr",...
N0390,...,...,...,Bigourdan,01,00,13,,+3.29,58,18.5,,-19.3,"vF, vS, stellar",...
N0391,211,...,...,Bond 1853,01,00,14,,+3.07,89,48.9,,-19.3,"F, S, r, (Auw. 9)",...
N0392,212,87,II 218,...,01,00,40,,+3.30,57,36.9,,-19.3,"F, vS, R, mbM, bet 2 st",...
N0393,214,88,I 54,...,01,00,44,,+3.36,51,06.2,,-19.3,"F, vS, vlE, gbM, 4 S st nr",*
N0394,215=213,...,...,"d'A, Ld R",01,00,44,,+3.30,57,36.2,,-19.3,"F, S, 50"" nf II 218",...
N0395,216,2379,...,...,01,00,46,,+1.94,162,44.6,,-19.3,"vF, pL, R, glbM",...
N0396,5150,...,...,m 35,01,00,49,,+3.10,86,13,,-19.3,"eF, S, lE",...
N0397,5151,...,...,Ball (R),01,00,52,,+3.30,57,38.2,,-19.3,"eF, S, R, vF * p",...
N0398,...,...,...,Bigourdan,01,01,12,,+3.30,58,14,,-19.3,"vF, vS, stellar",...
N0399,5152,...,...,Ld R*,01,01,14,,+3.30,58,06.9,,-19.3,"vF, S, R",...
N0400,5153,...,...,Ball (R),01,01,19,,+3.30,58,00.9,,-19.3,"eF, vS, GC 217 f",...
N0401,5154,...,...,Ball (R),01,01,22,,+3.30,57,59.1,,-19.3,"eF, stellar, 217 f",...
N0402,5155,...,...,Ld R*,01,01,27,,+3.30,57,56.5,,-19.3,"eF, vS, R, 217 s 3'",...
N0403,217,...,...,d'A,01,01,30,,+3.30,57,59.8,,-19.3,"vF, pS, cE, *11 s 85""",...
N0404,218,89,II 224,...,01,01,39,,+3.33,55,01.9,,-19.3,"pB, cL, R, gbM, beta Andr. sf",...
N0405,219,2380,...,...,01,02,06,,+2.68,137,25.6,,-19.3,"eS, stellar, = *7",...
N0406,220,2381,...,...,01,02,40,,+2.04,160,37.5,,-19.3,"F, vL, R, vglbM",...
N0407,221,...,II 219,"d'A, Schultz",01,02,52,,+3.31,57,37.0,,-19.3,"vF, vS, sp of 2",...
N0408,5156,...,...,Schultz,01,03,06,,+3.31,57,35.6,,-19.3,"vF, vS, II 220 f 8",...
N0409,223,2382,...,...,01,03,09,,+2.80,126,31.4,,-19.3,"eF, S, R, vS * nr",...
N0410,222,...,II 220,"d'A, Schultz",01,03,14,,+3.31,57,35.7,,-19.3,"pB, pL, nf of 2",...
N0411,224,2384,...,...,01,03,28,,+1.91,162,30.7,,-19.3,"eF, pL, R, gvlbM",...
N0412,...,...,...,L I,01,03,30,,+2.93,110,45.7,,-19.3,"vF, eS, R, sbMN (Neb?)",...
N0413,...,...,...,L II,01,03,30,+-,+3.05,93,33.7,,-19.3,"eF, pS, vlE",...
N0414,5157,...,...,Schultz,01,03,32,,+3.31,57,37.9,,-19.3,"vF, S, iR, mbM, II 220 np",...
N0415,225,2383,...,...,01,03,37,,+2.80,126,14.6,,-19.3,"vF, S, R, glbM",...
N0416,226,2386,...,...,01,03,39,,+1.86,163,06.4,,-19.3,"F, pS, R, gbM",...
N0417,...,...,...,L II,01,03,50,,+2.95,108,54.7,,-19.3,"eF, eS, R",...
N0418,227,2385,...,...,01,03,58,,+2.85,120,57.8,,-19.3,"F, pL, R, vglbM, p of 2",...
N0419,228,2387,...,Dunlop 36?,01,04,04,,+1.81,163,38.0,,-19.3,"pB, pL, R, gbM",...
N0420,229,90,III 154,...,01,04,25,,+3.30,58,37.4,,-19.2,"F, pS, R, bM",...
N0421,230,...,III 155,...,01,04,25,+-,+3.30,58,36,+-,-19.2,"eF, vS (only seen by H)",...
N0422,231,[0162],...,...,01,04,28,,+1.89,162,30.0,,-19.2,vF (in Nubec. minor),...
N0423,232,2388,...,...,01,04,42,,+2.86,119,58.7,,-19.2,"eF, S, E, glbM, f of 2",...
N0424,233,2389,...,...,01,04,58,,+2.77,128,49.7,,-19.2,"vF, S, R, glbM",...
N0425,...,...,...,St X,01,05,09,,+3.37,51,58.6,,-19.2,"vF, vS, R, lbM, *11 att",...
N0426,234,91,III 592,...,01,05,40,,+3.07,91,02.7,,-19.2,"vf, vS, R",...
N0427,236,2390,...,...,01,05,44,,+2.83,122,49.7,,-19.2,3 v S st with neby (?),...
N0428,238,...,II 622,...,01,05,46,,+3.07,89,45.7,,-19.2,"F, L, R, bM, er",...
N0429,237,92,III 593,...,01,05,48,,+3.07,91,05.6,,-19.2,"vF, vS",...
N0430,239,93,II 447,...,01,05,52,,+3.07,90,59.8,,-19.2,"F, vS, R, vsbM *",...
N0431,240,95,...,...,01,06,16,,+3.32,57,01.8,,-19.2,"F, S, vsbM",...
N0432,241,2391,...,...,01,06,16,,+2.34,152,20.7,,-19.2,"F, S, R, gbM, *12 f",...
N0433,242,94,...,...,01,06,28,,+3.73,30,36.9,,-19.2,"Cl, S, lC",...
N0434,243,2392,...,...,01,06,37,,+2.43,148,59.9,,-19.2,"B, S, R, psbM",...
N0435,5158,...,...,m 36,01,06,48,,+3.08,88,38,,-19.2,"eF, S, E",...
N0436,244,...,VII 45,...,01,06,53,,+3.70,31,56.1,,-19.2,"Cl, S, iF, pC",...
N0437,...,...,...,Sw V,01,06,58,,+3.11,84,48.8,,-19.2,"pF, vS, R, F * np",...
N0438,245,2393,...,...,01,07,07,,+2.76,128,39.0,,-19.2,"pF, S, R, glbM",...
N0439,246,2394,...,...,01,07,12,,+2.82,122,29.4,,-19.2,"pB, S, R, gbM",...
N0440,247,2396,...,...,01,07,13,,+2.42,149,01.7,,-19.2,"F, vS, R",...
N0441,248,2395,...,...,01,07,17,,+2.82,122,32.9,,-19.2,"pF, S, R, gbM",...
N0442,...,...,...,Sw V,01,07,19,,+3.06,91,46.0,,-19.2,"vF, S, R, B * sf",...
N0443,249,...,...,d'A,01,07,21,,+3.32,57,30.8,,-19.2,"F, S, R, *15 p 8sec on par.",...
N0444,251,...,...,Ld R,01,07,37,,+3.31,59,40,,-19.2,"vF, mE 135d, lbM",...
N0445,5159,...,...,m 37,01,07,41,,+3.08,88,49,,-19.2,"vF, vS",...
N0446,5160,...,...,m 38,01,07,48,,+3.10,86,26,,-19.2,"F, vS, stellar",...
N0447,250,...,...,d'A,01,07,50,,+3.32,57,40.5,,-19.2,"F, pL, bM, *11 nf",...
N0448,...,...,...,Sw IV,01,08,14,,+3.06,92,21.5,,-19.1,"pB, vS, lE",...
N0449,...,...,...,St XII,01,08,19,,+3.33,57,39.0,,-19.1,"vF, vS, R, vlbM, vF st inv",...
N0450,254,...,III 440,d'A,01,08,24,,+3.06,91,36.0,,-19.1,"vF, L",...
N0451,...,...,...,St XII,01,08,25,,+3.33,57,40.5,,-19.1,"vF, vS, R, vlbM",...
N0452,252,96,...,...,01,08,29,,+3.31,59,42.7,,-19.1,"vF, E, *9 np, S * nf, vnr",...
N0453,...,...,...,St XII,01,08,29,,+3.33,57,42.4,,-19.1,"vF, vS, R, vF st inv",...
N0454,253,2397,...,...,01,08,35,,+2.48,146,08.6,,-19.1,"vF, S, R, bM",...
N0455,5161,...,...,m 39,01,08,45,,+3.10,85,33,,-19.1,"F, vS, alm stell",...
N0456,255,2399,...,"Dunlop 7, 10?",01,09,51,,+1.67,164,02.2,,-19.1,"pF, pL, iR, r, 1st of sev",...
N0457,256,97,VII 42,...,01,10,20,,+3.72,32,25.0,,-19.1,"Cl, B, L, pRi, st 7, 8, 10",...
N0458,257,2401,...,Dunlop 60?,01,10,41,,+1.80,162,17.2,,-19.1,"pF, L, R, vgbM",...
N0459,258,...,III 205,...,01,10,41,,+3.20,73,04.9,,-19.1,eF,...
N0460,259,2402,...,"Dunlop 8, 10?",01,10,49,,+1.65,164,02.7,,-19.1,"F, pL, iR, gbM, r, 2nd of sev",...
N0461,260,2400,...,...,01,10,54,,+2.79,124,06.2,,-19.1,"pB, R, glbM (? 1d wrong)",...
N0462,5162,...,...,m 40,01,10,55,,+3.10,86,30,,-19.1,"eF, vS, stellar",...
N0463,5163,...,...,St III,01,11,31,,+3.19,74,24.6,,-19.1,"eF, vS, R, lbM",...
N0464,...,...,...,T V,01,11,41,,+3.35,55,46.5,,-19.1,S,...
N0465,261,2404,...,Dunlop 9?,01,11,42,,+1.63,164,04.6,,-19.1,"pB, pL, iF, 3 of sev",...
N0466,262,2403,...,...,01,11,43,,+2.37,149,38.8,,-19.1,"vF, pS, R, gbM",...
N0467,263,99,I 108,...,01,11,57,,+3.09,87,26.2,,-19.1,"pB, pL, R, gbM",*
N0468,265,98,...,...,01,12,03,,+3.34,58,01.9,,-19.1,"vF, eS, stellar",...
N0469,5164,...,...,m 41,01,12,09,,+3.18,75,52,,-19.0,"eF, S, R",...
N0470,264,...,III 250,"d'A, Schultz",01,12,31,,+3.09,87,19.6,,-19.0,"pB, L, iR",...
N0471,5165,...,...,m 42,01,12,34,,+3.18,75,57.0,,-19.0,Neb *12,...
N0472,266,...,...,d'A,01,12,41,,+3.33,58,02.0,,-19.0,"eF, vS, *9,10 p 14sec, v diff",...
N0473,267,...,III 206,...,01,12,41,,+3.19,74,14.9,,-19.0,"eF, S",...
N0474,269,...,III 251,"d'A, Schultz",01,12,53,,+3.09,87,19.3,,-19.0,"pB, S, smbM, f of 2",...
N0475,5166,...,...,"m 43, Peters",01,12,54,,+3.18,75,52.0,,-19.0,"eF, S",...
N0476,5167,...,...,m 44,01,12,54,,+3.19,74,42,,-19.0,"eF, vS, stellar",...
N0477,268,100,III 577,...,01,13,20,,+3.43,50,14.3,,-19.0,"vF, pS, vlE, vglbM",...
N0478,...,...,...,L II,01,13,39,,+2.89,113,06.5,,-19.0,"eF, eS, R, sbMN",...
N0479,5168,...,...,m 45,01,13,59,,+3.10,86,52,,-19.0,"eF, S, R",...
N0480,...,...,...,L II,01,14,00,,+2.99,100,36.5,,-19.0,"eF, vS, R, (neb ?)",...
N0481,...,...,...,"Sw VI, L II",01,14,00,,+3.00,99,56.7,,-19.0,"vF, vS, R, F * np",...
N0482,271,2405,...,...,01,14,04,,+2.69,131,42.9,,-19.0,"eF, lE",...
N0483,272,102,...,"d'A, Schultz",01,14,05,,+3.35,57,12.8,,-19.0,"vF, vS",...
N0484,273,2406,...,...,01,14,07,,+2.35,149,15.6,,-19.0,"vB, S, lE, psmbM",...
N0485,270,101,...,"d'A, Schultz",01,14,11,,+3.12,83,43.2,,-19.0,"cF, pL, R, *8 sp 3.5'",...
N0486,275,...,...,Ld R,01,14,29,,+3.11,85,24.0,,-19.0,"eF, eS, stell, 5' n of h 103",...
N0487,...,...,...,L I,01,14,30,,+2.94,107,06.5,,-19.0,"eF, vS, R",...
N0488,276,103,III 252,...,01,14,31,,+3.11,85,28.7,,-19.0,"pB, L, R, svmbM, *8 f 10'",...
N0489,274,...,...,d'A,01,14,33,,+3.14,81,31.6,,-19.0,"pB, S, E",...
N0490,277,...,...,Ld R,01,14,48,,+3.11,85,21.8,,-19.0,"vF, vS, R, 8' nf h 103",...
N0491,279,2407,...,...,01,14,54,,+2.77,124,48.3,,-19.0,"B, S, vlE, bM, vS * nr",...
N0492,280,...,...,Ld R,01,14,57,,+3.11,85,18.6,,-19.0,"eF, vS, R",...
N0493,281,105,III 594,...,01,14,58,,+3.08,89,46.5,,-19.0,"vF, L, mE 60d, lbM",...
N0494,282,104,...,...,01,15,04,,+3.35,57,33.6,,-19.0,"vF, pL, E, 3 F st s",...
N0495,278,...,III 156,"d'A, Schultz",01,15,05,,+3.35,57,15.7,,-19.0,"vF, S, 1st of 3",*
N0496,288,...,III 157,Ld R,01,15,13,,+3.35,57,13.0,,-19.0,"vF, vS (C in Birr diagr.), 2nd of 3",*
N0497,...,...,...,St XII,01,15,14,,+3.06,91,36.3,,-19.0,"eF, pS, R, vlbM, r",...
N0498,283,...,...,Ld R,01,15,16,,+3.35,57,15.0,,-19.0,"eeF, np h 106 (D in Birr diagr.)",*
N0499,289,106,III 158,...,01,15,20,,+3.35,57,16.4,,-19.0,"pB, pL, R, 3rd of 3",*
N0500,290,...,...,Ld R,01,15,23,,+3.11,85,20.3,,-19.0,"vF, vS, mbM, *11 nf 1'",...
N0501,284,...,...,Ld R,01,15,33,,+3.35,57,17.7,,-19.0,"vF, S (E in Birr diagr.)",...
N0502,293,...,...,d'A,01,15,36,,+3.13,81,41.0,,-18.9,"cB, S, R, bmN",...
N0503,5169,...,...,d'A,01,15,37,,+3.35,57,24.2,,-18.9,"eF, eS, D* 4' sp",...
N0504,291=292,107,...,d'A,01,15,37,,+3.35,57,31.7,,-18.9,"vF, S",*
N0505,5170,...,...,m 46,01,15,37,,+3.14,81,16,,-18.9,"vF, vS, stellar",...
N0506,5171,...,...,Ld R*,01,15,47,,+3.35,57,29.8,,-18.9,"vF, vS, sp h 108",...
N0507,294,108,III 159,...,01,15,49,,+3.35,57,28.6,,-18.9,"vF, pL, R, bM, s of 2",...
N0508,295,109,III 160,...,01,15,49,,+3.35,57,27.0,,-18.9,"vF, S, n of 2",...
N0509,5172,...,...,m 47,01,16,03,,+3.14,81,18,,-18.9,"vF, S, E",...
N0510,5173,...,...,Schultz,01,16,04,,+3.36,57,14.1,,-18.9,"vF, vS, lE",...
